"","(Current Prices)","","","","",""
"","(â‚¹)","","","","",""
"","State/Union Territory","Base: 2004-05","","","",""
"","","2004-05","2005-06","2006-07","2007-08","2008-09"
"","Andaman and Nicobar Islands","40921.0","44754.0","53778.0","61430.0","69177.0"
"","Andhra Pradesh","25959.0","28223.0","32961.0","39780.0","44376.0"
"","Arunachal Pradesh","26721.0","28171.0","30132.0","34466.0","39726.0"
"","Assam","16782.0","18396.0","19737.0","21290.0","24099.0"
"","Bihar","7914.0","8223.0","9967.0","11051.0","13728.0"
"","Chandigarh","74173.0","84993.0","97568.0","102980.0","108486.0"
"","Chhattisgarh","18559.0","20117.0","24800.0","29385.0","34360.0"
"","Delhi","63877.0","72208.0","83275.0","95241.0","111756.0"
"","Goa","76968.0","84721.0","94882.0","108708.0","135966.0"
"","Gujarat","32021.0","37780.0","43395.0","50016.0","55068.0"
"","Haryana","37972.0","42309.0","49261.0","56917.0","67405.0"
"","Himachal Pradesh","33348.0","36949.0","40393.0","43966.0","49903.0"
"","Jammu and Kashmir","21734.0","23240.0","25059.0","27448.0","30212.0"
"","Jharkhand","18510.0","18326.0","19789.0","24789.0","25046.0"
"","Karnataka","26882.0","31239.0","35981.0","42419.0","48084.0"
"","Kerala","32351.0","36958.0","41318.0","46865.0","54560.0"
"","Madhya Pradesh","15442.0","16631.0","19028.0","20935.0","25278.0"
"","Maharashtra","36077.0","41965.0","49831.0","57760.0","62234.0"
"","Manipur","18547.0","20251.0","21220.0","22820.0","24413.0"
"","Meghalaya","23079.0","24885.0","28940.0","31602.0","36992.0"
"","Mizoram","24662.0","26698.0","28764.0","32488.0","38582.0"
"","Nagaland","30441.0","33792.0","36568.0","39985.0","46207.0"
"","Odisha","17650.0","18846.0","22237.0","27735.0","31416.0"
"","Puducherry","48302.0","67205.0","68673.0","74201.0","79306.0"
"","Punjab","33103.0","36199.0","41883.0","49380.0","55315.0"
"","Rajasthan","18565.0","20275.0","24055.0","26882.0","31279.0"
"","Sikkim","26690.0","30252.0","32199.0","36448.0","46983.0"
"","Tamil Nadu","30062.0","35243.0","42288.0","47606.0","54137.0"
"","Telangana","24409.0","28987.0","33381.0","39652.0","49114.0"
